AcX1, AcY1, AcZ1, GyX1, GyY1, GyZ1, AcX2, AcY2, AcZ2, GyX2, GyY2, GyZ2
17128, 88, 6476, 354, 536, 246, 17244, 4772, -3876, -183, 39, 277
17156, 208, 6456, 350, 502, 252, 17260, 4616, -3932, -187, 79, 272
17196, -4, 6324, 329, 517, 240, 17220, 4744, -3908, -197, 34, 255
17132, 132, 6384, 342, 569, 246, 17276, 4768, -3876, -180, 44, 279
17132, 20, 6292, 339, 496, 235, 17240, 4744, -3884, -183, 66, 264
17180, 60, 6232, 327, 525, 243, 17372, 4724, -3864, -178, 41, 271
17184, 20, 6388, 331, 541, 241, 17172, 4668, -4016, -195, 83, 260
17224, 76, 6400, 323, 522, 246, 17296, 4660, -3836, -200, 55, 272
17212, 112, 6388, 340, 510, 265, 17344, 4716, -3792, -178, 35, 279
17148, -4, 6240, 330, 521, 268, 17220, 4680, -3696, -190, 62, 278
17112, 84, 6320, 350, 536, 239, 17180, 4700, -3796, -185, 90, 269
17152, 76, 6316, 347, 566, 257, 17336, 4780, -3632, -184, 69, 291
17200, -116, 6180, 329, 443, 188, 17288, 4668, -3884, -182, 107, 258
17176, 140, 6324, 326, 517, 235, 17284, 4800, -3904, -187, 58, 266
17068, 44, 6472, 351, 541, 253, 17236, 4864, -3840, -190, 48, 286
17092, -8, 6444, 341, 540, 246, 17196, 4632, -3768, -182, 62, 265
17060, 52, 6216, 333, 532, 244, 17140, 4536, -3972, -151, 125, 286
17220, 264, 6444, 316, 429, 254, 17272, 4720, -4032, -167, 92, 237
17132, 52, 6388, 349, 534, 244, 17212, 4680, -3920, -188, 93, 283
17172, -4, 6332, 331, 539, 231, 17244, 4624, -3756, -184, 53, 242
17252, 0, 6404, 321, 527, 241, 17248, 4684, -3956, -177, 72, 269
17196, 64, 6468, 325, 519, 258, 17284, 4736, -3880, -183, 27, 272
17100, 16, 6272, 337, 518, 255, 17328, 4712, -3864, -178, 21, 285
17196, 52, 6448, 337, 530, 257, 17276, 4688, -3920, -182, 65, 286
17228, 136, 6388, 327, 525, 244, 17128, 4728, -3888, -173, 52, 288
17104, 204, 6252, 330, 505, 245, 17156, 4628, -3932, -186, 56, 264
17156, 164, 6292, 313, 536, 249, 17204, 4672, -3856, -183, 64, 266
